zi,chaizi
疒,"['丶', '厂', '冫']"
邝,"['广', '阝']"
邝,"['广', '邑']"
立,"['亠', '丷', '一']"
冯,"['冫', '马']"
冯,"['冰', '马']"
邙,"['亡', '阝']"
邙,"['亡', '邑']"
玄,"['亠', '幺']"
氷,"['丶', '水']"
闪,"['门', '人']"
兰,"['丷', '三']"
半,"['丷', '一', '十']"
半,"['八', '一', '十']"
汀,"['水', '丁']"
汀,"['氵', '丁']"
汁,"['水', '十']"
汁,"['氵', '十']"
汅,"['氵', '丂']"
汅,"['水', '丂']"
汇,"['水', '匚']"
汇,"['氵', '匚']"
头,"['丶', '丶', '大']"
汃,"['水', '八']"
汃,"['氵', '八']"
汄,"['氵', '人']"
汄,"['水', '人']"
氿,"['氵', '九']"
氿,"['水', '九']"
汈,"['氵', '刁']"
汈,"['水', '刁']"
氻,"['氵', '力']"
氻,"['水', '力']"
汉,"['氵', '又']"
汉,"['水', '又']"
氾,"['氵', '㔾']"
氾,"['水', '㔾']"
氾,"['氵', '卩']"
氾,"['水', '卩']"
忊,"['忄', '丁']"
忊,"['心', '丁']"
忇,"['心', '力']"
忇,"['忄', '力']"
忉,"['心', '刀']"
忉,"['忄', '刀']"
宁,"['宀', '丁']"
穴,"['宀', '八']"
宂,"['宀', '几']"
它,"['宀', '匕']"
宄,"['宀', '九']"
讦,"['讠', '干']"
讦,"['言', '干']"
讧,"['言', '工']"
讧,"['讠', '工']"
讨,"['讠', '寸']"
讨,"['言', '寸']"
戹,"['户', '乙']"
写,"['冖', '与']"
让,"['言', '上']"
让,"['讠', '上']"
衤,"['丶', '乙', '丨', '丶', '丶']"
礼,"['示', '乚']"
礼,"['礻', '乚']"
冚,"['冖', '山']"
讪,"['讠', '山']"
讪,"['言', '山']"
讫,"['讠', '乞']"
讫,"['言', '乞']"
讬,"['言', '乇']"
讬,"['讠', '乇']"
训,"['讠', '川']"
训,"['言', '川']"
必,"['心', '丿']"
议,"['言', '义']"
议,"['讠', '义']"
讯,"['讠', '卂']"
讯,"['言', '卂']"
记,"['言', '己']"
记,"['讠', '己']"
永,"['丶', '一', '水']"
讱,"['言', '刃']"
讱,"['讠', '刃']"
司,"['㇆', '一', '口']"
叏,"['乛', '支']"
凥,"['尸', '几']"
尻,"['尸', '九']"
尼,"['尸', '匕']"
弗,"['弓', '丿', '丨']"
邔,"['己', '邑']"
邔,"['己', '阝']"
弘,"['弓', '厶']"
疋,"['乛', '卜', '人']"
阢,"['阜', '兀']"
阢,"['阝', '兀']"
出,"['山', '山']"
出,"['凵', '丨', '凵']"
出,"['山', '凵']"
阡,"['阜', '千']"
阡,"['阝', '千']"
阣,"['阝', '乞']"
阣,"['阜', '乞']"
辽,"['辵', '了']"
辽,"['辶', '了']"
阠,"['阜', '卂']"
阠,"['阝', '卂']"
阤,"['阜', '也']"
阤,"['阝', '也']"
氶,"['了', '㇆', '丶', '乀']"
氹,"['乙', '水']"
奵,"['女', '丁']"
邚,"['女', '邑']"
邚,"['女', '阝']"
奶,"['女', '乃']"
奴,"['女', '又']"
尕,"['乃', '小']"
加,"['力', '口']"
召,"['刀', '口']"
皮,"['丿', '支']"
皮,"['乛', '丿', '丨', '又']"
辸,"['辶', '乃']"
辸,"['辵', '乃']"
边,"['辶', '力']"
边,"['辵', '力']"
孕,"['乃', '子']"
发,"['丿', '友', '丶']"
发,"['丿', '一', '丿', '又', '丶']"
发,"['丿', '犮']"
圣,"['又', '土']"
对,"['又', '寸']"
弁,"['厶', '廾']"
台,"['厶', '口']"
矛,"['予', '丿']"
纠,"['丝', '丩']"
纠,"['纟', '丩']"
驭,"['马', '又']"
母,"['丨', '一', '二', '丶', '丶', '亅']"
幼,"['幺', '力']"
丝,"['纟', '纟']"
丝,"['丝', '丝']"
廵,"['廴', '巛']"
弎,"['弋', '三']"
弐,"['一', '弋', '二']"
匡,"['匚', '王']"
耒,"['二', '木']"
耒,"['末', '一']"
耒,"['一', '未']"
