zi,index,ini,fin,tone
耳,760,,er,3
耳,760,f,a,2
耳,760,r,eng,2
芉,761,g,an,3
芉,761,g,an,1
芉,761,c,ui,4
芋,762,x,u,1
芋,762,y,u,2
芋,762,y,u,3
芋,762,y,u,4
芌,763,y,u,4
芏,764,d,u,4
芐,765,h,u,4
芐,765,x,ia,4
共,766,h,ong,2
共,766,g,ong,4
共,766,g,ong,1
共,766,g,ong,3
芖,767,zh,i,4
芅,768,x,iao,1
芅,768,y,i,4
芇,769,m,ian,2
芊,770,q,ian,1
芊,770,q,ian,4
芃,771,p,eng,2
芄,772,w,an,2
芍,773,x,iao,4
芍,773,sh,ao,2
芍,773,d,i,4
芍,773,q,ue,4
芕,774,s,ui,1
芨,775,j,i,1
芒,776,m,ang,2
芒,776,h,uang,1
芒,776,h,uang,3
芒,776,w,ang,2
亚,777,y,a,4
芝,778,ch,an,1
芝,778,zh,i,1
芎,779,q,iong,1
芎,779,x,iong,1
芑,780,q,i,3
芓,781,z,i,1
芓,781,z,i,3
芓,781,z,i,4
芆,782,ch,ai,1
芆,782,ch,a,1
芗,783,x,iang,1
朾,784,ch,eng,1
朾,784,ch,eng,2
朾,784,t,ing,1
朾,784,zh,eng,1
朽,785,x,iu,3
朴,786,p,u,3
朴,786,t,un,2
朴,786,p,u,1
朴,786,p,o,1
朴,786,p,o,4
朴,786,p,iao,2
朲,787,r,en,2
朲,787,y,in,4
朳,788,b,a,1
朳,788,j,ing,1
杁,789,r,u,4
朹,790,q,iu,2
朹,790,g,ui,3
机,791,j,i,1
机,791,w,ei,4
朼,792,b,i,3
朻,793,j,iu,1
朷,794,t,iao,2
朷,794,d,ao,1
朷,794,g,eng,4
朷,794,m,u,4
朸,795,l,i,4
朸,795,j,i,4
权,796,q,uan,2
过,797,g,uo,o
过,797,g,uo,1
过,797,g,uo,4
过,797,z,ui,3
亘,798,g,en,4
亘,798,g,eng,4
亘,798,x,uan,1
亘,798,y,a,3
臣,799,ch,en,2
吏,800,l,i,4
再,801,z,ai,4
襾,802,y,a,4
覀,803,y,a,4
覀,803,x,i,1
朿,804,c,i,4
両,805,y,ang,1
両,805,l,iang,3
协,806,x,ie,2
西,807,x,i,1
亙,808,g,en,4
亙,808,g,eng,4
攰,809,g,ui,4
攰,809,sh,a,4
攰,809,x,u,1
压,810,c,ong,1
压,810,y,a,1
压,810,y,a,4
厌,811,y,an,4
厍,812,sh,e,4
厍,812,z,e,2
厊,813,q,in,2
厊,813,y,a,3
戌,814,x,u,1
戌,814,q,u,u
在,815,z,ai,4
有,816,w,ei,3
有,816,y,ou,3
有,816,y,ou,4
百,817,q,i,3
百,817,b,ai,3
百,817,b,o,2
百,817,m,o,4
乭,818,sh,i,2
存,819,ch,i,1
存,819,c,un,2
而,820,,er,2
而,820,n,eng,2
页,821,y,e,4
匠,822,j,iang,4
夸,823,k,ua,4
夸,823,w,an,2
夸,823,k,ua,1
